attraction_name,attraction_grade,attraction_heat,attraction_score,attraction_address,comments_total,positive_comments,after_consumption_comments,negative_comments,username,comment_score,comment_grade,comment_content,comment_time,user_ip
茶卡盐湖,4A,8.6,4.3,海西州乌兰县茶卡镇盐湖路9号,13824.0,11297.0,10497.0,1094.0,,,,,,
塔尔寺,5A,8.3,4.6,西宁市金塔路56号,14629.0,13116.0,10802.0,411.0,,,,,,
青海藏文化博物院,4A,8.2,4.8,西宁市生物科技产业园区经二路36号,4701.0,4473.0,4435.0,81.0,,,,,,
青海湖,5A,8.1,4.5,海北藏族自治州刚察县109国道北 侧,5271.0,4704.0,2212.0,263.0,,,,,,
乌素特水上雅丹地质公园,4A,7.9,4.4,青海省海西州大柴旦行委西台2号(G315线900公里处),2423.0,2077.0,2159.0,140.0,,,,,,
青海湖二郎剑景区,5A,7.9,4.2,海南藏族自治州共和县109国道旁,4548.0,3512.0,3632.0,465.0,,,,,,
察尔汗盐湖,4A,7.9,4.6,青海省海西蒙古族藏族自治州格尔木市杰源燃气加气站西北方向梦幻盐湖景区游客服务中心,1402.0,1299.0,965.0,46.0,,,,,,
日月山,4A,7.4,4.3,西宁市湟源县西南40公里处,876.0,725.0,466.0,43.0,,,,,,
西宁野生动物园,4A,7.4,4.5,西宁市城西区行知路9号,1726.0,1520.0,1281.0,85.0,,,,,,
卓尔山,,7.2,4.6,海北藏族祁连县八宝镇中心广场后方,2925.0,2651.0,2069.0,93.0,,,,,,
茶卡盐湖-茶卡天空壹号景区,4A,7.1,4.3,海西蒙古族藏族自治州乌兰县茶卡盐湖东部,1108.0,920.0,951.0,89.0,,,,,,
大柴旦翡翠湖旅游景区,,6.8,4.3,海西蒙古族藏族自治州直辖大柴旦镇大柴旦硼化工业基地西南四千米,348.0,296.0,,40.0,,,,,,
门源百里油菜花海,4A,6.6,4.5,海北藏族自治州门源回族自治县圆山大道,695.0,605.0,310.0,27.0,,,,,,
东台吉乃尔湖,,6.5,4.5,青海省海西蒙古族藏族自治州格尔木市315国道柴达木盆地内,90.0,78.0,,7.0,,,,,,
青藏高原自然博物馆,4A,6.4,4.3,西宁市城北区经二路21号,462.0,378.0,369.0,42.0,,,,,,
西宁新华联童梦乐园,4A,6.4,4.7,青海省西宁市湟中区华联路与昆仑大道西段交叉口西北角,3415.0,3173.0,973.0,150.0,,,,,,
青海湖圣泉湾(断崖),,6.3,4.5,青海省海北藏族自治州刚察县315国道,128.0,114.0,114.0,4.0,,,,,,
高原明珠,,6.2,4.4,西宁市西山一巷7号,274.0,237.0,188.0,9.0,,,,,,
西宁电视塔,,6.2,4.0,西山一巷5号,1.0,1.0,,,,,,,,
坎布拉国家森林公园,,6.0,4.3,黄南藏族自治州尖扎县李坎公路坎布拉景区客服务中心,386.0,323.0,224.0,31.0,,,,,,
青海省博物馆,4A,6.0,4.4,西宁市城西区西关大街58号,444.0,385.0,,19.0,,,,,,
西宁市东关清真大寺,,6.0,4.6,青海省西宁市城东区东关大街34号,836.0,774.0,7.0,14.0,,,,,,
贵德国家地质公园阿什贡七彩峰丛景区,4A,5.8,4.6,海南藏族自治州贵德县尕让乡阿什贡村,682.0,619.0,463.0,20.0,,,,,,
青海湖·黑马河,,5.8,4.8,共和县109国道黑马河镇人民政府东北1700米,4.0,4.0,,,,,,,,
祁连大草原,,5.7,4.7,青海省海北藏族自治州祁连县G227,9.0,9.0,,,,,,,,
可可西里国家级自然保护区,,5.7,4.7,青海省海西蒙古族藏族自治州格尔木市109国道附近,186.0,179.0,,1.0,,,,,,
阿咪东索景区,5A,5.7,4.2,海北藏族自治州祁连县城东南9公里302省道旁,153.0,121.0,71.0,19.0,,,,,,
拉脊山,,5.6,4.7,青海省海南藏族自治州贵德县101省道,89.0,85.0,,,,,,,,
祁连山草原,,5.6,4.6,海北藏族自治州祁连县祁连山冷龙岭北麓,226.0,209.0,13.0,9.0,,,,,,
黑独山,,5.7,4.3,海西蒙古族藏族自治州茫崖市,10.0,9.0,,1.0,,,,,,
茫崖翡翠湖,,5.5,4.6,青海省海西蒙古族藏族自治州茫崖市直辖大柴旦镇,86.0,80.0,,4.0,,,,,,
青海湖仙女湾,,5.3,4.2,海北藏族自治州刚察县仙女湾景区,142.0,111.0,83.0,10.0,,,,,,
龙羊峡生态旅游度假景区,4A,5.3,4.5,海南藏族自治州共和县龙羊峡镇,123.0,109.0,76.0,5.0,,,,,,
可鲁克湖景区,,5.3,3.7,海西蒙古族藏族自治州德令哈市,223.0,134.0,80.0,37.0,,,,,,
互助土族故土园景区,5A,5.3,4.4,海东市互助县威远镇,178.0,151.0,86.0,13.0,,,,,,
艾肯泉,,5.2,3.8,海西蒙古族藏族自治州茫崖市土沟镇莫合尔布鲁克村艾肯泉景区,64.0,41.0,,16.0,,,,,,
315最美公路,,5.2,4.6,青海省海西蒙古族藏族自治州G315(西莎线),9.0,8.0,,,,,,,,
祁连山风光旅游景区,4A,5.1,4.8,海北藏族自治州祁连县境内,207.0,205.0,,,,,,,,
土楼观-北禅寺,,5.1,4.2,西宁市城北区祁连路西38号(近湟水北土楼山峭崖),102.0,77.0,1.0,6.0,,,,,,
莫家街,,5.1,3.9,西宁市城中区近东大街,248.0,168.0,1.0,34.0,,,,,,
宗喀拉则,,5.1,5.0,G227国道拉脊山口西侧100米处,3.0,3.0,,,,,,,,
大柴旦雪山温泉旅游度假区,,5.1,4.4,海西蒙古族藏族自治州大柴旦镇以北8公里处的柴达木山温泉沟,153.0,134.0,114.0,9.0,,,,,,
岗什卡雪峰景区,,5.0,4.4,青海省海北藏族自治州门源回族自治县北部,72.0,61.0,,2.0,,,,,,
U型公路,,5.0,4.8,海西蒙古族藏族自治州直辖315国道780公里处,9.0,8.0,,,,,,,,
青海倒淌河景区,,5.0,3.5,海南藏族自治州共和县西倒一级公路附近,114.0,64.0,,30.0,,,,,,
青海湖金沙湾自然保护区,,4.9,4.2,海北藏族自治州海晏县环湖东路36号公里处,98.0,80.0,11.0,7.0,,,,,,
金银滩草原,,4.9,4.4,海北藏族自治州海晏县西北侧,108.0,91.0,1.0,2.0,,,,,,
金银滩原子城景区,4A,4.9,,海北藏族自治州海晏县金银滩草原,,,,,,,,,,
北山国家森林公园,4A,4.9,4.5,海东地区互助土族自治县扎旅公路扎隆沟旁,69.0,58.0,7.0,4.0,,,,,,
西宁熊猫馆,,4.9,4.9,行知路9号,18.0,17.0,7.0,,,,,,,
南八仙魔鬼城,,4.8,4.7,青海省海西蒙古族藏族自治州大柴旦行政委员会直辖G315(西莎线),75.0,70.0,,,,,,,,
丹噶尔古城,4A,4.8,4.1,西宁市湟源县城关镇明清老街,114.0,91.0,21.0,8.0,,,,,,
大柴旦红崖火星地貌景观区,,4.7,3.3,海西蒙古族藏族自治州,7.0,4.0,1.0,3.0,,,,,,
橡皮山,,4.8,4.4,青海省海南藏族自治州共和县黑马河乡青海湖西面,80.0,69.0,,3.0,,,,,,
茶卡盐湖景区-观光塔,,4.8,4.5,海西蒙古族藏族自治州乌兰县盐湖路茶卡盐湖景区,65.0,57.0,,4.0,,,,,,
南山公园,,4.7,4.5,青海省西宁市城中区凤凰山路211号,41.0,38.0,,,,,,,,
西宁市文庙,,4.7,4.4,西宁市城中区文化街18号,75.0,64.0,,2.0,,,,,,
柴达木盆地,,4.6,4.8,青海省海西蒙古族藏族自治州茫崖行政委员会,134.0,131.0,,1.0,,,,,,
西宁市力盟步行街-文化旅游区,4A,4.6,4.7,青海省西宁市城西区五四大街37号,91.0,83.0,,,,,,,,
西宁夏都博汇温泉水乐园,,4.6,4.4,西宁市湟中县麟河路33号,87.0,73.0,80.0,9.0,,,,,,
西宁绿道,,4.6,4.9,西宁南川河两侧,28.0,28.0,,,,,,,,
小柴旦湖,,4.6,4.6,青海省海西蒙古族藏族自治州直辖德小高速与柳格高速交汇处,56.0,52.0,,,,,,,,
西宁市人民公园,,4.6,4.6,青海省西宁市城西区胜利路72号,232.0,218.0,,5.0,,,,,,
西台吉乃尔湖,,4.6,4.8,青海省海西蒙古族藏族自治州大柴旦行政委员会,25.0,23.0,,,,,,,,
昆仑山口,,4.5,4.7,玉树藏族自治州曲麻莱县109国道附近西大滩景区,180.0,172.0,,,,,,,,
北山国家森林公园浪士当中心景区,,4.5,4.7,甘肃省天祝藏族自治县境内,31.0,29.0,24.0,1.0,,,,,,
德令哈市外星人遗址景区,,4.5,3.6,青海省海西蒙古族藏族自治州德令哈市怀头他拉镇,129.0,76.0,,30.0,,,,,,
冷湖镇,,4.5,4.3,青海省海西蒙古族藏族自治州茫崖市,7.0,6.0,,,,,,,,
沐里沐外温泉,,4.5,,青海省西宁市城中区北斗宫街2号悦玺公寓一号楼一单元,,,,,,,,,,
青海湖环湖西路,,4.5,4.7,海南藏族自治州共和县,93.0,86.0,,,,,,,,
火星营地,,4.4,4.5,海西蒙古族藏族自治州茫崖市冷湖镇火星一号公路80公里处,14.0,12.0,,,,,,,,
冰沟林海,,4.4,4.2,东索路东100米,33.0,25.0,,1.0,,,,,,
隆务寺,,4.4,4.5,黄南藏族自治州同仁市德合隆南路农村信用合作社西北侧约240米,45.0,43.0,7.0,1.0,,,,,,
塔尔寺大金瓦殿,,4.4,4.7,西宁市湟中区塔尔寺景区内,99.0,94.0,,,,,,,,
俄博梁,,4.4,4.6,青海省海西蒙古族藏族自治州直辖茫崖市S305,27.0,23.0,,1.0,,,,,,
西宁市博物馆,,4.4,3.8,西宁市城北区门源路风车幼儿园北侧约150米,5.0,4.0,,1.0,,,,,,
冷湖石油基地遗址,,4.4,4.7,青海省海西蒙古族藏族自治州冷湖行政委员会S305,10.0,9.0,,,,,,,,
青海湖东格尔观景台,,4.4,4.0,青海省海南藏族自治州共和县环湖西路青海湖国家重点风景名胜区,1.0,1.0,,,,,,,,
托素湖,,4.3,4.6,青海省海西蒙古族藏族自治州德令哈市,115.0,106.0,,2.0,,,,,,
青海可鲁克湖托素湖自然保护区,,4.3,,青海省海西蒙古族藏族自治州德令哈市可鲁克湖托素湖旅游景区,,,,,,,,,,
西宁野生动物园海洋馆,,4.3,3.7,西宁市城西区行知路9号,16.0,9.0,4.0,6.0,,,,,,
黑马河班禅拉泽观看日出景点,,4.3,4.7,海南藏族自治州共和县青海湖黑马河镇西1.7公里,121.0,113.0,,1.0,,,,,,
三江源国家公园,,4.3,5.0,青海省南部,7.0,7.0,,,,,,,,
雅丹地貌,,4.3,4.9,青海省海西蒙古族藏族自治州大柴旦行政委员会315国道南八仙公路,13.0,13.0,,,,,,,,
西王母瑶池,,4.3,4.6,青海省海西蒙古族藏族自治州格尔木市,17.0,17.0,,,,,,,,
玉珠峰,,4.2,4.6,玉珠峰冰川观景点,50.0,46.0,,1.0,,,,,,
南关清真寺,,4.2,4.4,西宁市城东区南小街23号,77.0,69.0,,1.0,,,,,,
无极龙凤宫,,4.2,4.3,海西蒙古族藏族自治州格尔木市郭勒木德镇109国道北200米,12.0,8.0,,,,,,,,
白马寺,,4.2,4.6,海东市互助土族自治县红崖子沟乡白马村,30.0,26.0,1.0,1.0,,,,,,
唐古拉山口,,4.2,4.6,109国道,116.0,110.0,,1.0,,,,,,
阿柔大寺,,4.2,4.2,青海省海北藏族自治州祁连县阿柔乡草大坂村3号,109.0,86.0,,6.0,,,,,,
昆仑圣泉,,4.2,4.7,海西蒙古族藏族自治州格尔木市109国道附近,11.0,10.0,,,,,,,,
中国原子城爆轰实验场,,4.2,4.3,海北藏族自治州海晏县西海镇,12.0,9.0,7.0,1.0,,,,,,
达坂山观景台,,4.2,4.2,青海省海北藏族自治州门源回族自治县227国道附近,18.0,15.0,,2.0,,,,,,
中国版66号公路,,4.2,4.8,海西蒙古族藏族自治州,20.0,19.0,,,,,,,,
青海藏文化馆,4A,4.1,4.5,西宁市湟中县迎宾路,87.0,78.0,18.0,5.0,,,,,,
可可西里国家级自然保护区索南达杰保护站,,4.1,4.5,青海省玉树藏族自治州曲麻莱县G109(京拉线),18.0,17.0,,,,,,,,
互助北山扎隆沟景区,,4.1,3.9,海东地区互助县扎龙沟村,45.0,29.0,33.0,5.0,,,,,,
大柴旦镇,,4.1,4.3,青海省海西蒙古族藏族自治州,49.0,40.0,,3.0,,,,,,
阿克班玛环湖度假营地,,4.1,5.0,海南藏族自治州江西沟镇莫热村四社408号,40.0,40.0,,,,,,,,
青海原子城纪念馆,,4.1,,青海省海北藏族自治州海晏县西海镇同宝路10号,,,,,,,,,,
青海湖骑行,,4.1,4.8,青海省海南藏族自治州共和县青海湖沿线109国道2100公里处,175.0,169.0,,,,,,,,
河湟文化夜市,,4.1,,五四西路与广场环路交叉路口往东南约100米,,,,,,,,,,
黑泉水库,,4.1,4.4,青海省西宁市大通回族土族自治县宝库乡,78.0,67.0,,2.0,,,,,,
大冬树山垭口,,4.1,4.4,青海省海北藏族自治州祁连县S204,75.0,65.0,,,,,,,,
唐蕃古道,,4.1,3.9,城西区黄河路156号,14.0,10.0,,2.0,,,,,,
海西大柴旦北纬37°星空营地,,4.1,1.0,海西蒙古族藏族自治州大柴旦镇五个沙包近3011国道,1.0,,,1.0,,,,,,
拉脊山口,,4.1,4.0,青海省西宁市湟中区,1.0,1.0,,,,,,,,
马步芳公馆,,4.0,3.9,西宁市城东区为民巷13号,128.0,84.0,1.0,18.0,,,,,,
火星一号公路,,4.0,4.5,海西蒙古族藏族自治州茫崖市冷湖镇G315国道,10.0,9.0,,,,,,,,
青海久治年保玉则国家地质公园,,4.0,4.7,青海省果洛藏族自治州久治县索呼日麻乡,115.0,105.0,,3.0,,,,,,
龙羊大峡谷,,4.0,4.7,海南藏族自治州共和县龙羊峡镇,6.0,6.0,4.0,,,,,,,
