username,comment_score,comment_grade,comment_content,comment_time,user_ip
爱玩不爱叨叨的小玩家子,1,不佳,啥也没有，好多蚊子，没有啥景色，还收20门票。太坑了。上了一个洗手间，离开,2020-06-10,
缘本是缘,2,一般,因为开发，已经把原来的美都破坏了！遗憾呀！,2015-11-18,
Tom84114,1,不佳,修了新馆，正在搬迁中，关闭不开放。所以，西宁关了青海省博物馆，关了西宁市博物馆，关了马步芳公馆，关了土观楼。我建议西宁把火车站、飞机场一块关闭，与世隔绝吧。再附议，省会迁到格尔木或者德令哈。,2021-08-16,
天秀之秀,2,一般,格尔木市有个外号：火车拉出来的城市格尔木市南郊特点：东西不咋地，价格天价就是物美价廉的对称；而且好多东西的价格老板自己都不知道，价格张嘴就来；买食品不看日期你怎么死的都不知道！,2018-01-22,
筱康儿,2,一般,将军楼公园是以青藏公路的缔造者慕生忠将军工作和生活的地方为中心，修建的一处休闲公园，同时也是青海第二大城市格尔木历史发展的物证。这里集中展现了青藏公路的建设历程，也逐一介绍了参与格尔木市军垦建设的各单位情况。对于知情和老兵来说，这里有年青的岁月和青春的影子。,2017-08-08,
_WeCh****82703,1,不佳,这个公园修建于零几年 重庆天域园林有限公司承建 包工头是我爸 就是一个市民散步的景点居然也能上景点 里面什么也没有 就一个小楼,2016-08-14,
M43****6327,1,不佳,网上说免费的，怎么还需要收费？,2021-07-12,
D16****580,1,不佳,景色挺好的，各种建筑和鱼，就是入口和停车场有当地人私下收费，门票40元一个人。进了景区问了其他游客，发现自己被骗了，其实这是个免费景区。,2018-07-05,
123212,5,超棒,是青海湖所有景点最棒的。环境优美。可以玩的东西很多。只是有点贵。很干净。很不错。,2015-11-08,
123212,5,超棒,是青海湖所有景点最棒的。环境优美。可以玩的东西很多。只是有点贵。很干净。很不错。,2015-11-08,
M20****065,1,不佳,观景台全是店铺，车刚停好，一群小孩扑上来推销买花环，停车一分钟也要收停车费5元。主要景色很一般，门源来回20公里过来，性价比极低,2021-07-23,
藏剑-古剑魂,1,不佳,无底坑！进去掉个头，收费5块钱。。。只要你车头拐进去了，就出不来了。。。里面车多，管理混乱，这些人想钱想疯了吧！,2021-07-09,
320****822,1,不佳,这也叫景区，30元门票，去过最垃圾的地方，随便一个地方都比这好吧，坑人的很，不建议来,2023-08-01,青海
末而墨已-,2,一般,建议各位亲，6月份再前往参观游览，五一暂时没有任何性价比。还是光秃秃的一片,2022-05-04,
安特瓦塞尔袁术,1,不佳,真心不咋的，还不如去其他地方，有点坑人的感觉,2019-08-24,
田缘子墨,2,一般,西宁老城墙旧址，正在建设中，完善了监控和厕所设施，增加了几处凉亭。,2018-10-23,
米八生,2,一般,如图太简陋的一座楼，没什么美可言！又名纸坊清真寺，位于青海省西宁市西关街141号、原寺建于清朝末年，距今已有100余年历史，该寺因扩大路面和其它原故迁址4处,2016-12-09,
Fionpooh,1,不佳,坐公車坐了幾轉，去到O嘴！被別人相片誤導了！,2016-06-06,
Fionpooh,1,不佳,請不要亂放相片誤導人，今天去了—趟，很失望！,2016-06-04,
阿赫恩张辽,2,一般,原址在施工，什么也看不见，没有意思,2020-05-04,
_WeCh****428047,1,不佳,滑雪场坡太陡，对于刚学着滑雪的人来说，安全隐患无处不在。尤其雪圈，向下俯冲的速度超级快，大人带着孩子到终点直接被撞停，而不是慢慢降速停下来。我家小孩门牙也被撞松了，终点值守的工作人员对于冲下来的游客无动于衷，哪怕撞得人仰马翻他们也不会去理睬，安全问题实在是太严重。滑雪道快到终点时应该坡度缓和才对，然而，这个滑雪场快到终点时却会突然加速，平稳停下来的几率太小，要么撞停，要么自己摔倒呲停，就因为需要撞停，最终我女儿撞完以后脚踝骨脱臼，花了七八百来滑雪，结果整了两个伤员回家。一家人的这一天过得真是糟糕透了。以后再也不去，还要告诉亲戚朋友也不能去，谁知道介绍去了又会出什么重大事故。,2023-02-05,青海
sandinm,1,不佳,完全名不符实。如果你是想去看艺术作品，可以不用考虑了。整个场馆没有一件美术作品，没有绘画，没有雕塑。只有和艺术无关的爱国宣传。不知道为什么要花钱建这样的“美术馆”。,2018-10-03,
天羽博士,1,不佳,地方很不错，在西宁市中心的广场上，博物馆，美术馆，文化馆放于一处，这对游人方便了许多。文化馆和美术馆是连在一起的，这也隐喻了他们两个的内部关系。建筑古朴，典雅。不过除了这个，也没有什么了，美术馆里几乎全是为社会建设歌功颂德的，扫一下即可。,2018-10-02,
匿名用户,1,不佳,不值得去，里面单项玩的收费贵,2023-08-11,青海
M24****1636,1,不佳,景色还不错，但是我们在8月8号去的时候，我们是在门口买票的，里面还需要掏一张彩虹滑道的票，是一次一人10块钱，觉得性价比一般。现在的问题是彩虹滑道的票务，售票白明兰的服务态度极差且工作极不负责不到位。首先第一点，最开始给我们说我弟弟一个1.4米以下的小孩可以玩彩虹滑道，之后我们问她如果两人坐一个轮胎可不可以收一次的钱，她马上就翻脸说：“那你弟弟就不要坐了好了”。之后无论我们怎么说，都不让我弟弟玩。1.4米以下小孩不能玩这个规定我们完全可以理解。但是为什么你一开始不说一米四以下的小孩不能玩?那你就不要最开始答应我们之后又翻脸。这完全就是利用自己的职务在找事，我们什么都没有说就把脾气发到我身上，我都不知道她的脾气哪里来的。突然一下，就说那你们别玩了。第2，态度很差，最让我们生气的是她的态度实在是太差了，我们一起在商量说想玩左边的滑道，她说不行，可是明明就有人从左边滑，我妹妹问她：“你这不是有人滑吗？我刚刚都看见了”。她突然“哼”了一声，然后对我们说：“你们眼花了吧，眼睛有问题？”态度真的非常差。我们不知道这种工作人员可能自己在家里受气了，为什么发泄到我们刚成年的小孩身上？之后我们问她：“你什么态度？”她反而还说：“我给你找票呢，我能什么态度。”最后也没有跟我们道歉，我们一定要求一个回馈，让她跟我们道歉，并且获得处罚赔钱。我们的家长也在，完全可以作证。周围的工作人员也可以，完全是她找事。,2020-08-09,
M61****564,1,不佳,线上购买会区别对待 ，要是想玩彩虹滑道就必须要在门口买30元的门票，她们才认，真的搞不懂同样都是门票，怎么了？门口买的就很高贵？？要那么想赚钱，请好好完善自己的设施，立好口碑,2020-07-22,
天羽博士,1,不佳,文化馆与美术馆连在一起，但却是分开进入的，建筑古朴大气，不过也只有这个值得一提了。里面着实没什么可看的，我自负风雅，但瞅瞅那些附庸风雅的书法作品，实在提不起兴趣。,2018-10-02,
WECANH9218,1,不佳,一个挺令人尴尬的地方，基本上没有什么可以看的，就看看建筑吧,2018-04-08,
_WeCh****682433,1,不佳,本来想给零分，携程上至少给一分。其他写好评的游客参观的地方不是青海文化馆，而是青海藏文化馆，离市中心25多公里。地图上的文化馆是不可以参观的，一个普通的小区而已，什么都没有，还被保安骂了一顿。你们别去！！,2018-01-22,
ChrisLChen,1,不佳,不值一看，與美術觀同樣一棟房子。連結的兩家必須走外面進出，裡面用圍欄分開互不往來。展出兒童捏陶與版畫作品，不值一提的花錢單位。,2017-06-22,
_WeCh****92410,1,不佳,服务态度太差，项目介绍也比较含糊，充值的只有到滑雪的地方可以玩，其他地放单独收费，不能用会员卡。温馨提示,2022-01-30,
M36****763,1,不佳,中国最大的劳改农场！中国最大的枸杞种植基地！太荒凉这个地方！,2016-04-11,
_WeCh****975193,1,不佳,作为本地人，我一点也不推荐这里,2021-09-28,
看看8899,1,不佳,携程说凭数字码可以直接入园，结果到了景区还得兑换纸质门票！仅有的几个收费景点非常坑爹，服务差，设施差，根本达不到4A景区标准，严重不建议v去，去了就上当！！！！,2020-03-30,
Lcz88122080,2,一般,早就没有古城的味道了，我们一起走了夜场和白天共两次，唯独一小段土墙是原始留下来的。免费景区里最差的一个，不建议游览白白浪费感情！,2019-09-02,
